question,hops,cypher_query,thinking,context,split
Quốc gia của những người đã nhận Giải Nobel Hóa học là gì?,3,"MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'What is the country of those who received the Nobel Prize in Chemistry?'
Step 2: Identify entity 'Nobel Prize in Chemistry' and intent to find the 'Country' of the 'Person' who received it.
Step 3: Map 'Nobel Prize in Chemistry' to the 'Award' node with name property. Map 'received' to the ':RECEIVED' relationship from 'Person' to 'AwardStatement'. Map 'country' to the 'Country' node and its 'name' property. The connection between 'Person' and 'Country' is through the ':IS_CITIZEN_OF' relationship. The award is an instance of an AwardStatement via ':IS_INSTANCE_OF'.
Step 4: Construct MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:IS_CITIZEN_OF]->(:Country)
(:Person)-[:RECEIVED]->(:AwardStatement)",train
Klaus Hasselmann làm nghề gì?,1,"MATCH (p:Person {name: ""Klaus Hasselmann""})-[:WORKS_AS]->(o:Occupation) RETURN o.name","Step 1: Translate the Vietnamese question into English.
Klaus Hasselmann làm nghề gì? -> What is Klaus Hasselmann's occupation?
Step 2: Identify entities and intent from the translated English question.
Entity: 'Klaus Hasselmann' (Person)
Intent: Find the occupation of this person.
Step 3: Map keywords to the English Schema provided above.
'Klaus Hasselmann' maps to the 'Person' node with the property 'name'.
'occupation' maps to the relationship 'WORKS_AS' and the 'Occupation' node, specifically its 'name' property.
Step 4: Construct the MATCH and RETURN clauses logic.
We need to find the Person named 'Klaus Hasselmann', then traverse the 'WORKS_AS' relationship to the Occupation node, and return the name of that Occupation.","Relevant Nodes:
""Occupation"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:WORKS_AS]->(:Occupation)",train
Ai đã tham gia sự kiện 'securing the return of Okinawa' và ngày sinh của họ là gì?,2,"MATCH (e:Event {name: ""securing the return of Okinawa""})<-[:PARTICIPATED_IN]-(p:Person) RETURN p.name, p.born_on_date","Step 1: Translate to English: 'Who participated in the event ""securing the return of Okinawa"" and what is their birth date?'
Step 2: Identify entities 'event ""securing the return of Okinawa""' and 'birth date', and intent 'who participated'.
Step 3: Map 'participated in' to relationship 'PARTICIPATED_IN', 'event' to Event node, and 'birth date' to Person node property 'born_on_date'.
Step 4: Construct MATCH (e:Event {name: ""securing the return of Okinawa""})<-[:PARTICIPATED_IN]-(p:Person) RETURN p.name, p.born_on_date.","Relevant Nodes:
""Event"": properties: [""name"", ""date""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:PARTICIPATED_IN]->(:Event)",train
Ngày sinh của T. S. Eliot là khi nào?,1,"MATCH (p:Person {name: ""T. S. Eliot""}) RETURN p.born_on_date","Step 1: Translate to English: 'When is the birth date of T. S. Eliot?'
Step 2: Identify entity 'T. S. Eliot' and intent 'birth date'.
Step 3: Map 'birth date' to property 'born_on_date' for the 'Person' node.
Step 4: Construct MATCH (p:Person {name: ""T. S. Eliot""}) RETURN p.born_on_date.","Relevant Nodes:
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]",train
Ai là những người làm việc trong cùng lĩnh vực với người đã từng đoạt giải Nobel Hóa học?,4,"MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who are the people who work in the same field as someone who received the Nobel Prize in Chemistry?'
Step 2: Identify entities and intent from the translated English question. Entities are 'Nobel Prize in Chemistry', 'people', and 'someone who received it'. The intent is to find the names of individuals (p2) who share a professional field (f) with a person (p1) known for having received the 'Nobel Prize in Chemistry'.
Step 3: Map keywords to the English Schema: 'Nobel Prize in Chemistry' maps to the 'Award' node with the 'name' property. 'Received' maps to the 'RECEIVED' relationship, which connects a 'Person' to an 'AwardStatement'. 'AwardStatement' is linked to 'Award' via 'IS_INSTANCE_OF'. 'People' maps to the 'Person' node. 'Work in the same field' maps to the 'WORKS_IN_FIELD' relationship and the 'Field' node.
Step 4: Construct the MATCH and RETURN clauses logic. Start by matching the specific Award: `(a:Award {name: ""Nobel Prize in Chemistry""})`. Then, traverse to the AwardStatement instance: `<-[:IS_INSTANCE_OF]-(ast:AwardStatement)`. Next, find the Person (p1) who received this statement: `<-[:RECEIVED]-(p1:Person)`. From p1, find the Field (f) they work in: `-[:WORKS_IN_FIELD]->(f:Field)`. Finally, find another Person (p2) who also works in that same Field (f): `<-[:WORKS_IN_FIELD]-(p2:Person)`. The desired output is the name of this second person: `RETURN p2.name`.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
William Vickrey sinh năm bao nhiêu?,1,"MATCH (p:Person {name: ""William Vickrey""}) RETURN p.born_on_date","Step 1: Translate to English: 'What year was William Vickrey born?'
Step 2: Identify entity 'William Vickrey' and intent 'birth date'.
Step 3: Map 'William Vickrey' to Person.name and 'birth date' to Person.born_on_date.
Step 4: Construct MATCH (p:Person {name: 'William Vickrey'}) RETURN p.born_on_date.","Relevant Nodes:
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]",train
Những quốc gia nào có người đã nhận giải Nobel Văn học?,3,"MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'Which countries have people who received the Nobel Prize in Literature?'
Step 2: Identify entities 'countries' and 'Nobel Prize in Literature', and intent 'find countries of recipients'.
Step 3: Map 'countries' to 'Country' node, 'Nobel Prize in Literature' to 'Award' node with name 'Nobel Prize in Literature', and the relationship between person and country to 'IS_CITIZEN_OF'. Map recipient to 'Person' node and the award reception to 'RECEIVED' relationship and 'AwardStatement' node.
Step 4: Construct MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:IS_CITIZEN_OF]->(:Country)
(:Person)-[:RECEIVED]->(:AwardStatement)",train
Ben Roy Mottelson làm nghề gì?,1,"MATCH (p:Person {name: ""Ben Roy Mottelson""})-[:WORKS_AS]->(o:Occupation) RETURN o.name","Step 1: Translate to English: 'What is the occupation of Ben Roy Mottelson?'
Step 2: Identify entity 'Ben Roy Mottelson' and intent 'occupation'.
Step 3: Map 'occupation' to the relationship ':WORKS_AS' and the node 'Occupation' with property 'name'.
Step 4: Construct MATCH (p:Person {name: ""Ben Roy Mottelson""})-[:WORKS_AS]->(o:Occupation) RETURN o.name.","Relevant Nodes:
""Occupation"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:WORKS_AS]->(:Occupation)",train
Olga Tokarczuk làm nghề gì?,1,"MATCH (p:Person {name: ""Olga Tokarczuk""})-[:WORKS_AS]->(o:Occupation) RETURN o.name","Step 1: Translate to English: 'What is Olga Tokarczuk's occupation?'
Step 2: Identify entity 'Olga Tokarczuk' and intent 'occupation'.
Step 3: Map 'occupation' to relationship [:WORKS_AS] and node :Occupation property 'name'.
Step 4: Construct MATCH (p:Person {name: ""Olga Tokarczuk""})-[:WORKS_AS]->(o:Occupation) RETURN o.name.","Relevant Nodes:
""Occupation"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:WORKS_AS]->(:Occupation)",train
Những người đã từng đoạt giải Nobel Hòa bình là công dân của quốc gia nào?,3,"MATCH (a:Award {name: ""Nobel Peace Prize""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'Which country are the people who have won the Nobel Peace Prize citizens of?'
Step 2: Identify entity 'Nobel Peace Prize' and intent to find the countries of its recipients.
Step 3: Map 'Nobel Peace Prize' to `Award.name`. Map 'người đã từng đoạt giải' (people who won the award) to the relationship path `(:Person)-[:RECEIVED]->(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)`. Map 'công dân của quốc gia nào' (citizens of which country) to the relationship `(:Person)-[:IS_CITIZEN_OF]->(:Country)` and returning `Country.name`.
Step 4: Construct the MATCH and RETURN clauses logic: Start by matching the specific Award `(a:Award {name: ""Nobel Peace Prize""})`. Traverse backwards through `IS_INSTANCE_OF` to `AwardStatement` (`<-[:IS_INSTANCE_OF]-(ast:AwardStatement)`). Then traverse backwards through `RECEIVED` to `Person` (`<-[:RECEIVED]-(p:Person)`). Finally, traverse forwards through `IS_CITIZEN_OF` to `Country` (`-[:IS_CITIZEN_OF]->(c:Country)`). The return clause should be `RETURN c.name`.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:IS_CITIZEN_OF]->(:Country)
(:Person)-[:RECEIVED]->(:AwardStatement)",train
Quê hương của những người đoạt giải Nobel Văn học là nước nào?,3,"MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'What country are the Nobel Prize in Literature winners from?'
Step 2: Identify entities 'Nobel Prize in Literature' and 'winners', and intent 'country'.
Step 3: Map 'Nobel Prize in Literature' to Award node with name 'Nobel Prize in Literature'. Map 'winners' to Person node. Map 'country' to Country node and relationship IS_CITIZEN_OF. Map 'Nobel Prize in Literature' award to AwardStatement node connected to Award.
Step 4: Construct MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:IS_CITIZEN_OF]->(:Country)
(:Person)-[:RECEIVED]->(:AwardStatement)",train
Menachem Begin làm nghề gì?,1,"MATCH (p:Person {name: ""Menachem Begin""})-[:WORKS_AS]->(o:Occupation) RETURN o.name","Step 1: Translate to English: 'What is Menachem Begin's occupation?'
Step 2: Identify entity 'Menachem Begin' and intent 'occupation'.
Step 3: Map 'occupation' to the relationship [:WORKS_AS] and node label (:Occupation) and property 'name'.
Step 4: Construct MATCH (p:Person {name: ""Menachem Begin""})-[:WORKS_AS]->(o:Occupation) RETURN o.name.","Relevant Nodes:
""Occupation"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:WORKS_AS]->(:Occupation)",train
Những người nào khác có cùng quốc tịch với Michel Mayor?,2,"MATCH (p1:Person {name: ""Michel Mayor""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'What other people share the same nationality as Michel Mayor?'
Step 2: Identify entities 'Michel Mayor' and the intent to find other people with the same nationality.
Step 3: Map 'Michel Mayor' to Person node with name property. Map 'nationality' to IS_CITIZEN_OF relationship and Country node.
Step 4: Construct MATCH (p1:Person {name: ""Michel Mayor""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Tổ chức Hòa bình Quốc tế là công dân của nước nào?,1,"MATCH (p:Person {name: ""International Peace Bureau""})-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'Which country is the International Peace Bureau a citizen of?'
Step 2: Identify entity 'International Peace Bureau' and intent 'find the country it is a citizen of'.
Step 3: Map 'International Peace Bureau' to Person node with name property. Map 'country' to Country node. Map 'is a citizen of' to IS_CITIZEN_OF relationship.
Step 4: Construct MATCH (p:Person {name: ""International Peace Bureau""})-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
"Tìm tên của những người làm việc trong cùng lĩnh vực với người đã nhận giải thưởng ""Nobel Prize in Physics"".",4,"MATCH (a:Award {name: ""Nobel Prize in Physics""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Find the names of people who work in the same field as someone who received the ""Nobel Prize in Physics"".'
Step 2: Identify entities: ""Nobel Prize in Physics"" (Award name), people working in the same field, people who received the award. Intent: find names of people.
Step 3: Map keywords to schema: ""Nobel Prize in Physics"" maps to `Award.name`. ""received"" maps to `Person` -[:RECEIVED]-> `AwardStatement` -[:IS_INSTANCE_OF]-> `Award`. ""work in the same field"" maps to `Person` -[:WORKS_IN_FIELD]-> `Field` <-[:WORKS_IN_FIELD]- `Person`.
Step 4: Construct MATCH and RETURN clauses: The query needs to find people (`p2`) who work in a field (`f`) that is also worked in by another person (`p1`). This person (`p1`) must have received an `AwardStatement` which is an instance of the `Award` named ""Nobel Prize in Physics"". The final result should be the names of these people (`p2`).
MATCH (a:Award {name: ""Nobel Prize in Physics""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Những người nào đã từng học tại cùng một tổ chức với những người nhận giải Nobel Hóa học?,4,"MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:EDUCATED_AT]->(o:Organization)<-[:EDUCATED_AT]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Which people studied at the same organization as those who received the Nobel Prize in Chemistry?'
Step 2: Identify entities 'Nobel Prize in Chemistry', 'people who received an award', 'organization', 'other people who studied at the organization' and intent 'find their names'.
Step 3: Map keywords to schema: 'Nobel Prize in Chemistry' -> Award {name: ""Nobel Prize in Chemistry""}; 'received' -> [:RECEIVED]; 'studied at' -> [:EDUCATED_AT]; 'organization' -> Organization; 'people' -> Person; 'names' -> Person.name.
Step 4: Construct MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:EDUCATED_AT]->(o:Organization)<-[:EDUCATED_AT]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Organization"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:EDUCATED_AT]->(:Organization)
(:Person)-[:RECEIVED]->(:AwardStatement)",train
Có ai là công dân của cùng quốc gia với Steven Weinberg không?,2,"MATCH (p1:Person {name: ""Steven Weinberg""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Is there anyone who is a citizen of the same country as Steven Weinberg?'
Step 2: Identify entity 'Steven Weinberg' and intent 'find other citizens of the same country'.
Step 3: Map 'citizen of' to relationship ':IS_CITIZEN_OF' and 'country' to node ':Country'.
Step 4: Construct MATCH (p1:Person {name: ""Steven Weinberg""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Ai là người cùng quốc tịch với Robert Koch?,2,"MATCH (p1:Person {name: ""Robert Koch""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who is of the same nationality as Robert Koch?'
Step 2: Identify entity 'Robert Koch' and intent 'find people with the same nationality'.
Step 3: Map 'nationality' to the relationship ':IS_CITIZEN_OF' and the node ':Country'.
Step 4: Construct MATCH (p1:Person {name: ""Robert Koch""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Tìm những người làm việc trong lĩnh vực của những người đã nhận giải Nobel Sinh lý học hoặc Y học.,4,"MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Find people who work in the same field as people who received the Nobel Prize in Physiology or Medicine.'
Step 2: Identify entities: 'Nobel Prize in Physiology or Medicine', 'people who work in the same field'. Intent: Find names of people.
Step 3: Map keywords to schema: 'Nobel Prize in Physiology or Medicine' -> Award 'name', 'received' -> :RECEIVED relationship, 'work in field' -> :WORKS_IN_FIELD relationship, 'people' -> Person node.
Step 4: Construct the MATCH and RETURN clauses logic. MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Những người nào khác có cùng quốc tịch với Arthur Henderson?,2,"MATCH (p1:Person {name: ""Arthur Henderson""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who else has the same nationality as Arthur Henderson?'
Step 2: Identify entity 'Arthur Henderson' and intent 'find people with the same nationality'.
Step 3: Map 'Arthur Henderson' to Person.name, 'nationality' to IS_CITIZEN_OF.Country.name. Map 'people' to Person node.
Step 4: Construct MATCH (p1:Person {name: ""Arthur Henderson""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Ngày sinh của Desmond Tutu là gì?,1,"MATCH (p:Person {name: ""Desmond Tutu""}) RETURN p.born_on_date","Step 1: Translate to English: 'What is Desmond Tutu's date of birth?'
Step 2: Identify entity 'Desmond Tutu' and intent 'date of birth'.
Step 3: Map 'date of birth' to property 'born_on_date'.
Step 4: Construct MATCH (p:Person {name: ""Desmond Tutu""}) RETURN p.born_on_date.","Relevant Nodes:
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]",train
Những người nào có cùng quốc tịch với Nadine Gordimer?,2,"MATCH (p1:Person {name: ""Nadine Gordimer""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who are the people who share the same nationality as Nadine Gordimer?'
Step 2: Identify entity 'Nadine Gordimer' (a Person) and intent to find other 'People' who have the 'same nationality' (Country) as her.
Step 3: Map 'Nadine Gordimer' to Person.name. Map 'nationality'/'country' to Country node. Map 'has same nationality' to the IS_CITIZEN_OF relationship, traversing from a Person (p1) to Country (c) and then from Country (c) back to another Person (p2).
Step 4: Construct the MATCH clause to find Nadine Gordimer (p1), her Country (c) via IS_CITIZEN_OF, and then other Persons (p2) also linked to that same Country (c) via IS_CITIZEN_OF. The RETURN clause should specify p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Có những người nào làm việc trong cùng lĩnh vực với những người đã nhận giải thưởng Khoa học Kinh tế của Ngân hàng Thụy Điển?,4,"MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who are the people who work in the same field as those who received the Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel?'
Step 2: Identify entities: 'people', 'same field', 'received prize'. Intent: Find people based on shared fields with prize winners.
Step 3: Map keywords: 'people' -> Person, 'same field' -> WORKS_IN_FIELD, 'received prize' -> RECEIVED, AwardStatement, Award, 'Prize in Economic Sciences in Memory of Alfred Nobel' -> Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""}.
Step 4: Construct MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Liệt kê tên những người làm việc trong cùng lĩnh vực với người từng đoạt Giải Nobel Văn học.,4,"MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'List the names of people who work in the same field as someone who received the Nobel Prize in Literature.'
Step 2: Identify entities 'Nobel Prize in Literature' (Award), 'people' (Person), 'field' (Field) and intent to find the names of people (p2) who work in the same field as a recipient (p1) of the specified award.
Step 3: Map keywords to schema: 'Nobel Prize in Literature' -> Award node with name property; 'received' -> [:RECEIVED] relationship; 'work in the same field' -> [:WORKS_IN_FIELD] relationship linking two Person nodes to the same Field node; 'names' -> Person.name property.
Step 4: Construct MATCH and RETURN clauses logic: Start with the Award node ('Nobel Prize in Literature'). Traverse to the AwardStatement, then to the Person (p1) who received it. From p1, go to the Field (f) they work in. Then, find another Person (p2) who also works in that same Field (f). Finally, return p2.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
